Airline,Domestic,International,Month,Year
JETBLUE AIRWAYS,13345288,3588348,7,2016
AMERICAN,10843989,2597086,7,2016
US AIRWAYS,4906540,39284,7,2016
SOUTHWEST AIRLINES,4098419,0,7,2016
SPIRIT AIRLINES,2413224,0,7,2016
VIRGIN AMERICA,1856476,0,7,2016
BRITISH AIRWAYS,0,1661397,7,2016
AIR CANADA,0,1640322,7,2016
LUFTHANSA,0,1095370,7,2016
EMIRATES AIRLINES,0,1067679,7,2016
VIRGIN ATLANTIC,0,993892,7,2016
AIR FRANCE,0,973345,7,2016
CATHAY PACIFIC,0,830058,7,2016
EL AL,0,613350,7,2016
ALITALIA,0,566172,7,2016
CARIBBEAN AIR,0,552521,7,2016
AEROMEXICO,0,537370,7,2016
TURKISH AIR,0,533121,7,2016
UNITED,23335701,7961412,12,2017
DELTA,23986490,5529851,12,2017
JETBLUE AIRWAYS,13454547,3739161,12,2017
AMERICAN,14480089,2660220,12,2017
SOUTHWEST AIRLINES,4214109,0,12,2017
SPIRIT AIRLINES,2077523,0,12,2017
VIRGIN AMERICA,1927493,0,12,2017
AIR CANADA,0,1902287,12,2017
BRITISH AIRWAYS,0,1624180,12,2017
EMIRATES AIRLINES,0,1200935,12,2017
LUFTHANSA,0,1127174,12,2017
AIR FRANCE,0,1099556,12,2017
NORWEGIAN AIR,0,1063274,12,2017
VIRGIN ATLANTIC,0,986453,12,2017
CATHAY PACIFIC,0,775737,12,2017
ALASKA AIRLINES,740483,0,12,2017
AER LINGUS,0,619834,12,2017
EL AL,0,615579,12,2017
ALITALIA,0,591763,12,2017
WESTJET,0,566254,12,2017
UNITED,22214018,8043560,12,2016
DELTA,23677307,5570926,12,2016
JETBLUE AIRWAYS,13485302,3595600,12,2016
AMERICAN,12336986,2529074,12,2016
SOUTHWEST AIRLINES,4127888,0,12,2016
US AIRWAYS,3217527,39284,12,2016
SPIRIT AIRLINES,2527340,0,12,2016
VIRGIN AMERICA,1906539,0,12,2016
AIR CANADA,0,1742648,12,2016
BRITISH AIRWAYS,0,1685857,12,2016
LUFTHANSA,0,1123947,12,2016
EMIRATES AIRLINES,0,1092510,12,2016
AIR FRANCE,0,967996,12,2016
VIRGIN ATLANTIC,0,964311,12,2016
CATHAY PACIFIC,0,823039,12,2016
EL AL,0,610725,12,2016
ALITALIA,0,565350,12,2016
AEROMEXICO,0,548467,12,2016
SAS,0,540186,12,2016
TURKISH AIR,0,528693,12,2016
