Airline,Domestic,International,Month,Year
EMIRATES AIRLINES,0,1067895,3,2016
VIRGIN ATLANTIC,0,992375,3,2016
AIR FRANCE,0,978968,3,2016
CATHAY PACIFIC,0,840552,3,2016
EL AL,0,597951,3,2016
CARIBBEAN AIR,0,576798,3,2016
ALITALIA,0,576386,3,2016
TURKISH AIR,0,536528,3,2016
AEROMEXICO,0,530532,3,2016
UNITED,22094955,8039615,11,2016
DELTA,23569125,5570075,11,2016
JETBLUE AIRWAYS,13447917,3605874,11,2016
AMERICAN,11970666,2557527,11,2016
SOUTHWEST AIRLINES,4126757,0,11,2016
US AIRWAYS,3736463,39284,11,2016
SPIRIT AIRLINES,2479280,0,11,2016
VIRGIN AMERICA,1900778,0,11,2016
AIR CANADA,0,1726267,11,2016
BRITISH AIRWAYS,0,1682401,11,2016
LUFTHANSA,0,1117565,11,2016
EMIRATES AIRLINES,0,1085746,11,2016
AIR FRANCE,0,967006,11,2016
VIRGIN ATLANTIC,0,962355,11,2016
CATHAY PACIFIC,0,822880,11,2016
EL AL,0,611664,11,2016
ALITALIA,0,562122,11,2016
AEROMEXICO,0,546196,11,2016
SAS,0,541273,11,2016
TURKISH AIR,0,538203,11,2016
UNITED,21516877,7934283,4,2016
DELTA,22663176,5478754,4,2016
JETBLUE AIRWAYS,13281996,3518474,4,2016
AMERICAN,10287042,2622850,4,2016
US AIRWAYS,5197424,0,4,2016
SOUTHWEST AIRLINES,4099627,0,4,2016
SPIRIT AIRLINES,2365811,0,4,2016
VIRGIN AMERICA,1819799,0,4,2016
BRITISH AIRWAYS,0,1660944,4,2016
AIR CANADA,0,1598435,4,2016
LUFTHANSA,0,1097157,4,2016
EMIRATES AIRLINES,0,1068205,4,2016
VIRGIN ATLANTIC,0,994182,4,2016
AIR FRANCE,0,980326,4,2016
CATHAY PACIFIC,0,835747,4,2016
EL AL,0,599872,4,2016
ALITALIA,0,574436,4,2016
CARIBBEAN AIR,0,566710,4,2016
TURKISH AIR,0,534210,4,2016
AEROMEXICO,0,527166,4,2016
UNITED,22884945,8007382,5,2017
DELTA,24036405,5589459,5,2017
JETBLUE AIRWAYS,13493895,3604485,5,2017
AMERICAN,13679023,2625639,5,2017
SOUTHWEST AIRLINES,4124856,0,5,2017
VIRGIN AMERICA,1943011,0,5,2017
AIR CANADA,0,1828638,5,2017
SPIRIT AIRLINES,1693185,0,5,2017
BRITISH AIRWAYS,0,1667372,5,2017
US AIRWAYS,1373999,0,5,2017
LUFTHANSA,0,1128276,5,2017
EMIRATES AIRLINES,0,1107007,5,2017
AIR FRANCE,0,1005643,5,2017
VIRGIN ATLANTIC,0,966947,5,2017
CATHAY PACIFIC,0,809603,5,2017
EL AL,0,612293,5,2017
ALITALIA,0,583435,5,2017
AER LINGUS,0,580341,5,2017
AEROMEXICO,0,537981,5,2017
SAS,0,535614,5,2017
UNITED,22467452,8120114,1,2017
DELTA,23788939,5557010,1,2017
JETBLUE AIRWAYS,13563820,3590871,1,2017
AMERICAN,12718030,2613802,1,2017
SOUTHWEST AIRLINES,4131534,0,1,2017
US AIRWAYS,2812613,28611,1,2017
SPIRIT AIRLINES,2576391,0,1,2017
VIRGIN AMERICA,1918580,0,1,2017
AIR CANADA,0,1771825,1,2017
BRITISH AIRWAYS,0,1685007,1,2017
LUFTHANSA,0,1126784,1,2017
EMIRATES AIRLINES,0,1097761,1,2017
AIR FRANCE,0,967070,1,2017
VIRGIN ATLANTIC,0,967019,1,2017
CATHAY PACIFIC,0,825592,1,2017
EL AL,0,616202,1,2017
ALITALIA,0,570359,1,2017
AEROMEXICO,0,547121,1,2017
SAS,0,539419,1,2017
