Airline,Domestic,International
United,23027931,7983981
Delta,23969981,5624075
JetBlue Airways,13482592,3727396
American,14467771,2631445
Southwest Airlines,4187003,0
Spirit Airlines,2060791,0
Virgin America,1948769,0
Air Canada,0,1894254
British Airways,0,1628210
Emirates Airlines,0,1184003
Lufthansa,0,1123430
Air France,0,1095518
Norwegian Air,0,998888
Virgin Atlantic,0,997713
Cathay Pacific,0,777579
Alaska Airlines,705215,0
Aer Lingus,0,618046
El Al,0,617269
AlItalia,0,591552
WestJet,0,560772
